id_pair,start_id,stop_id,start_smiles,stop_smiles
68,CHEMBL2112315,CHEMBL4080769,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C
69,CHEMBL2112315,CHEMBL409470,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@@H](C[C@H]1CC(=C)C(=O)O1)[C@H]2CC[C@H]3\C(=C\C=C4C[C@@H](O)C(=C)[C@H](O)C4)\CCC[C@]23C
70,CHEMBL2112315,CHEMBL4105311,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CCN(CC)CCNC(=O)c1cc(cn1CC)C(CC)(CC)c2ccc(C#CC(O)(CC)CC)c(C)c2
71,CHEMBL2112315,CHEMBL452878,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@@H](\C=C\C[C@@H](O)CC12CC3CC(CC(C3)C1)C2)[C@H]4CC[C@H]5\C(=C\C=C6C[C@@H](O)C(=C)[C@H](O)C6)\CCC[C@]45C
72,CHEMBL2112315,CHEMBL466792,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@@H](\C=C\C[C@@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]4CC[C@H]5\C(=C\C=C6C[C@@H](O)C(=C)[C@H](O)C6)\CCC[C@]45C
73,CHEMBL2112315,CHEMBL467212,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](\C=C\[C@@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]4CC[C@H]5\C(=C\C=C6C[C@@H](O)C(=C)[C@H](O)C6)\CCC[C@]45C
74,CHEMBL2112315,CHEMBL494338,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CC(C)(O)CCCC1(CC1)C2=CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
75,CHEMBL2112315,CHEMBL1356393,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,COC1=C(OC)C(=O)C(=CC1=O)C(C=C)c2ccccc2
76,CHEMBL2112315,CHEMBL1377737,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,COc1ccc(C[S+]([O-])\C(=C(\Cl)/C(=O)Nc2ccc(OC)nc2)\Cl)cc1
77,CHEMBL2112315,CHEMBL1389315,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,O=S(=O)(Nc1c(c2nc3ccccc3nc2n1C4CCCCC4)S(=O)(=O)c5ccccc5)c6ccccc6
78,CHEMBL2112315,CHEMBL1409883,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CCCNC(=O)c1nnsc1[S+]([O-])c2ccc(Cl)cc2
79,CHEMBL2112315,CHEMBL1484163,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CCOC(=O)C1=C(Cc2ccc(OC)cc2)C(=O)c3ccccc3C1=O
80,CHEMBL2112315,CHEMBL1498509,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,O=C1C(=O)c2ccc(cc2c3ccccc13)c4ccccc4
